Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls
Environmental science,3.64 - 3.89,0.231404959,3.61 - 3.74,0.428571429,28,121,12
Architectural studies,3.62 - 3.94,0.151960784,3.60 - 3.78,0.516129032,31,204,16
African american studies,3.34 - 3.72,0.385714286,3.34 - 3.67,0.666666667,27,70,18
American indian studies,3.47 - 3.60,0.5,3.38 - 3.58,0.7,10,20,7
Asian american studies,3.64 - 3.82,0.285714286,3.60 - 3.80,0.4375,16,56,7
Asian humanities,3.60 - 3.90,0.252525253,3.56 - 3.82,0.6,25,99,15
Chicana & chicano studies,3.38 - 3.70,0.428571429,3.32 - 3.67,0.476190476,42,98,20
Gender studies,3.53 - 3.86,0.39380531,3.53 - 3.83,0.662921348,89,226,59
Pre-asian studies,3.65 - 3.86,0.243478261,3.68 - 3.84,0.642857143,28,115,18
Pre-latin american studies,masked,0.25,masked,1.0,4,16,4
Spanish and community and culture,3.50 - 3.82,0.611111111,3.37 - 3.66,0.636363636,11,18,7
Biochemistry,3.80 - 3.96,0.29950495,3.81 - 3.96,0.52892562,121,404,64
Biology,3.78 - 3.94,0.161706349,3.76 - 3.93,0.570552147,163,1008,93
Microbiology - immunology - molecular genetics,3.74 - 3.93,0.311926606,3.69 - 3.92,0.588235294,34,109,20
"Molecular, cell, & developmental biology",3.81 - 3.95,0.300847458,3.81 - 3.95,0.577464789,71,236,41
Neuroscience,3.67 - 3.92,0.205128205,3.66 - 3.92,0.75,40,195,30
Physiological science,3.67 - 3.91,0.265486726,3.66 - 3.90,0.833333333,30,113,25
Pre-business economics,3.90 - 4.00,0.094037809,3.84 - 4.00,0.515463918,194,2063,100
Communication,3.91 - 4.00,0.111641221,3.91 - 4.00,0.777777778,117,1048,91
Computer science,3.87 - 4.00,0.054534314,3.85 - 3.96,0.606741573,89,1632,54
Aerospace engineering,3.79 - 4.00,0.147727273,3.79 - 3.95,0.653846154,26,176,17
Bioengineering,3.85 - 4.00,0.133333333,3.85 - 3.99,0.4,20,150,8
Chemical engineering,3.83 - 3.94,0.268292683,3.84 - 3.94,0.436363636,55,205,24
Civil engineering,3.82 - 4.00,0.226130653,3.82 - 3.94,0.377777778,45,199,17
Computer engineering,3.87 - 3.97,0.096774194,3.91 - 3.95,0.583333333,12,124,7
Computer science & engineering,3.94 - 4.00,0.147766323,3.86 - 4.00,0.418604651,43,291,18
Electrical engineering,3.81 - 3.96,0.230576441,3.80 - 3.96,0.554347826,92,399,51
Materials engineering,3.83 - 4.00,0.184615385,3.88 - 4.00,0.5,12,65,6
Mechanical engineering,3.85 - 4.00,0.147001934,3.84 - 3.96,0.342105263,76,517,26
Art history,3.53 - 3.87,0.462121212,3.51 - 3.90,0.672131148,61,132,41
Musicology,masked,0.25,masked,1.0,3,12,3
Art,3.02 - 3.80,0.065637066,3.02 - 3.74,0.764705882,17,259,13
Dance,3.15 - 3.66,0.11627907,masked,0.8,5,43,4
Design media arts,3.72 - 4.00,0.063670412,3.70 - 3.97,0.882352941,17,267,15
Ethnomusicology,3.40 - 3.51,0.333333333,masked,0.8,5,15,4
Music,3.49 - 3.89,0.073684211,3.69 - 4.00,0.714285714,7,95,5
World arts & culture,3.37 - 3.77,0.3,3.27 - 3.69,0.5,12,40,6
Film & television,3.64 - 4.00,0.020802377,3.65 - 4.00,0.928571429,14,673,13
Theater,3.55 - 3.94,0.039473684,3.63 - 3.98,0.833333333,12,304,10
Applied linguistics,3.33 - 3.91,0.4,3.33 - 3.91,1.0,6,15,6
Asian languages and linguistics,3.76 - 4.00,0.225806452,3.75 - 4.00,0.857142857,7,31,6
Chinese,3.56 - 3.86,0.121212121,3.62 - 3.88,0.75,8,66,6
Comparative literature,3.45 - 3.79,0.426470588,3.42 - 3.78,0.448275862,29,68,13
