Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls
Environmental science,3.64 - 3.93,0.263888889,3.60 - 3.94,0.473684211,38,144,18
Architectural studies,3.77 - 4.00,0.09486166,3.77 - 3.88,0.416666667,24,253,10
African american studies,3.40 - 3.80,0.338983051,3.36 - 3.79,0.75,20,59,15
Asian american studies,3.56 - 3.94,0.296296296,3.61 - 3.89,0.75,8,27,6
Asian humanities,3.78 - 3.87,0.229166667,3.74 - 3.86,0.545454545,11,48,6
Chicana & chicano studies,3.53 - 3.76,0.350649351,3.48 - 3.72,0.814814815,27,77,22
Gender studies,3.70 - 3.92,0.4,3.69 - 3.92,0.580645161,62,155,36
Pre-asian studies,3.84 - 4.00,0.12195122,3.86 - 4.00,0.6,10,82,6
Pre-european studies,masked,0.363636364,masked,0.75,4,11,3
Spanish and community and culture,3.53 - 3.69,0.384615385,masked,0.4,10,26,4
Biochemistry,3.78 - 4.00,0.294460641,3.81 - 4.00,0.495049505,101,343,50
Biology,3.82 - 4.00,0.127753304,3.78 - 4.00,0.568965517,174,1362,99
"Ecology, behavior & evolution",3.75 - 3.89,0.158730159,masked,0.3,10,63,3
Microbiology - immunology - molecular genetics,3.78 - 3.94,0.222772277,3.77 - 3.93,0.533333333,45,202,24
"Molecular, cell, & developmental biology",3.85 - 4.00,0.28959276,3.75 - 3.98,0.484375,64,221,31
Neuroscience,3.76 - 3.95,0.202830189,3.73 - 3.92,0.674418605,43,212,29
Physiological science,3.67 - 3.94,0.180722892,3.64 - 3.95,0.666666667,30,166,20
Pre-computational & systems biology,masked,0.16,masked,0.75,4,25,3
Labor studies,3.62 - 3.97,0.606060606,3.61 - 3.98,0.75,20,33,15
Pre-business economics,3.91 - 4.00,0.087048087,3.90 - 4.00,0.60483871,248,2849,150
Communication,3.93 - 4.00,0.09009009,3.94 - 4.00,0.772727273,110,1221,85
Computer science,3.96 - 4.00,0.023535303,3.93 - 4.00,0.617021277,47,1997,29
Pre-education and social transformation,3.74 - 3.94,0.2625,3.73 - 3.94,0.69047619,42,160,29
Aerospace engineering,3.78 - 3.93,0.114537445,3.77 - 3.92,0.615384615,26,227,16
