Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls
Environmental economics & policy(college of l&s),3.75 - 4.00,0.290076336,3.72 - 3.96,0.842105263,38,131,32
Geography,3.50 - 3.90,0.272727273,3.44 - 3.92,0.619047619,21,77,13
Conservation & resource studies,3.55 - 3.83,0.412698413,3.36 - 3.77,0.730769231,26,63,19
Ecosystem management and forestry - forestry,3.24 - 3.63,0.7,masked,0.571428571,7,10,4
Environmental economics & policy(college of natural resources),3.62 - 3.92,0.3,3.58 - 3.92,0.787878788,33,110,26
Environmental science,3.67 - 3.93,0.117346939,3.46 - 3.83,0.565217391,23,196,13
Society and environment,3.45 - 3.86,0.607843137,3.42 - 3.73,0.64516129,31,51,20
Architecture,3.50 - 3.82,0.285087719,3.49 - 3.87,0.815384615,65,228,53
Landscape architecture,3.36 - 3.84,0.217391304,3.36 - 3.84,1.0,5,23,5
Sustainable environmental design,masked,0.09375,masked,1.0,3,32,3
African-american studies,3.63 - 3.81,0.230769231,3.63 - 3.75,0.555555556,9,39,5
American studies,3.47 - 3.82,0.393939394,3.45 - 3.63,0.769230769,13,33,10
Asian american and asian diaspora studies,3.74 - 3.97,0.233333333,masked,0.571428571,7,30,4
Chicano studies,3.42 - 3.80,0.316666667,3.37 - 3.72,0.473684211,19,60,9
Ethnic studies,3.40 - 3.72,0.222222222,3.40 - 3.72,0.916666667,12,54,11
Gender & women's studies,3.77 - 3.95,0.211864407,3.81 - 4.00,0.36,25,118,9
Integrative biology,3.73 - 3.91,0.271186441,3.76 - 3.93,0.40625,32,118,13
Molecular&cell biology,3.62 - 3.91,0.3166817782,3.51 - 3.87,0.4378831097999999,265,811,113
Genetics & plant biology,3.39 - 3.79,0.279069767,3.39 - 3.82,0.666666667,12,43,8
Microbial biology,3.53 - 3.85,0.406976744,3.55 - 3.74,0.428571429,35,86,15
Molecular environmental biology,3.50 - 3.78,0.274725275,3.40 - 3.59,0.28,25,91,7
Business administration,3.86 - 4.00,0.057465091,3.86 - 4.00,0.906542056,107,1862,97
Media studies,3.52 - 3.93,0.384210526,3.41 - 3.89,0.561643836,219,570,123
Computer science,3.76 - 3.99,0.048897411,3.73 - 4.00,0.784313725,51,1043,40
Chemical engineering,3.71 - 3.94,0.310734463,3.63 - 3.90,0.618181818,55,177,34
Bioengineering,3.89 - 4.00,0.15037594,3.89 - 3.97,0.6,20,133,12
Civil engineering,3.75 - 3.91,0.231707317,3.73 - 3.87,0.578947368,38,164,22
Electrical engineering - computer science,3.92 - 4.00,0.093465046,3.90 - 4.00,0.853658537,123,1316,105
Engineering physics,masked,0.153846154,masked,0.75,4,26,3
Industrial engineering & operations research engineering,3.79 - 3.90,0.186046512,3.76 - 3.89,0.75,8,43,6
Mechanical engineering,3.82 - 4.00,0.151340996,3.83 - 4.00,0.860759494,79,522,68
Nuclear engineering,masked,0.222222222,masked,0.75,4,18,3
Operations research & management science,3.67 - 3.96,0.181818182,3.65 - 3.83,0.833333333,6,33,5
Art,3.52 - 3.92,0.367647059,3.48 - 3.86,0.493333333,75,204,37
Dance & performance studies,3.19 - 3.82,0.346153846,masked,0.333333333,9,26,3
Film,3.60 - 3.92,0.297385621,3.70 - 3.88,0.406593407,91,306,37
History of art,3.49 - 3.91,0.421052632,3.26 - 3.85,0.5,40,95,20
Music,3.55 - 3.84,0.233333333,3.41 - 3.78,0.571428571,14,60,8
Theater and performance studies,3.55 - 3.95,0.369747899,3.51 - 3.91,0.409090909,44,119,18
Chinese language & literature,3.74 - 3.97,0.180952381,3.62 - 3.81,0.421052632,19,105,8
Comparative literature,3.49 - 3.87,0.425925926,3.46 - 3.90,0.695652174,23,54,16
"East asian religion, thought, and culture",3.58 - 3.90,0.314285714,3.73 - 3.90,0.590909091,22,70,13
French,3.10 - 3.58,0.36,masked,0.444444444,9,25,4
Japanese language & literature,3.45 - 3.85,0.4625,3.37 - 3.84,0.513513514,37,80,19
Linguistics,3.72 - 3.92,0.153846154,3.74 - 3.91,0.583333333,24,156,14
Spanish - portuguese,3.48 - 3.82,0.596774194,3.32 - 3.78,0.432432432,37,62,16
Ancient egypt & near eastern art,masked,0.25,masked,1.0,3,12,3
Classical civilization,masked,0.222222222,masked,0.75,4,18,3
Cognitive science,3.71 - 3.91,0.169491525,3.72 - 3.91,0.666666667,30,177,20
Global studies,3.83 - 4.00,0.226415094,3.76 - 3.95,0.520833333,48,212,25
Interdisciplinary studies,3.52 - 3.83,0.488888889,3.51 - 3.83,0.75,44,90,33
Nutritional science,3.64 - 3.86,0.166666667,3.69 - 3.81,0.666666667,15,90,10
Legal studies,3.50 - 3.85,0.359649123,3.47 - 3.86,0.682926829,41,114,28
English,3.61 - 3.93,0.415879017,3.56 - 3.90,0.554545455,220,529,122
History,3.75 - 4.00,0.297002725,3.73 - 4.00,0.458715596,109,367,50
Philosophy,3.55 - 3.90,0.492625369,3.47 - 3.85,0.502994012,167,339,84
Rhetoric,3.53 - 3.97,0.510416667,3.49 - 3.94,0.693877551,49,96,34
Applied mathematics,3.73 - 4.00,0.39748954,3.72 - 4.00,0.642105263,190,478,122
Mathematics,3.65 - 3.92,0.258160237,3.63 - 3.90,0.67816092,87,337,59
Statistics,3.80 - 4.00,0.324200913,3.78 - 3.95,0.732394366,71,219,52
Chemical biology,3.87 - 4.00,0.12962963,3.59 - 4.00,0.523809524,21,162,11
chemistry(college of chem),3.78 - 3.96,0.184834123,3.78 - 3.98,0.461538462,39,211,18
Materials science & engineering,3.87 - 4.00,0.204545455,3.88 - 4.00,0.777777778,9,44,7
