Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls,year
Environmental earth science,3.38 - 3.70,0.310344828,3.39 - 3.66,0.666666667,9,29,6,2022
Environmental economics & policy(college of l&s),3.57 - 4.00,0.333333333,3.58 - 4.00,0.911764706,34,102,31,2022
Geography,3.61 - 3.94,0.65,3.56 - 3.93,0.730769231,26,40,19,2022
Conservation & resource studies,3.44 - 3.90,0.55,3.46 - 3.89,0.681818182,22,40,15,2022
Ecosystem management and forestry - forestry,3.59 - 3.94,0.416666667,masked,0.8,5,12,4,2022
Ecosystem management and forestry - natural resource management,3.38 - 3.58,0.238095238,masked,0.8,5,21,4,2022
Environmental economics & policy(college of natural resources),3.55 - 3.92,0.576923077,3.69 - 3.92,0.8,30,52,24,2022
Environmental science,3.46 - 3.83,0.234482759,3.40 - 3.74,0.323529412,34,145,11,2022
Society and environment,3.50 - 3.94,0.220779221,3.48 - 3.93,0.882352941,17,77,15,2022
Architecture,3.75 - 3.94,0.198380567,3.73 - 3.91,0.816326531,49,247,40,2022
African-american studies,3.07 - 3.76,0.303030303,2.95 - 3.77,0.7,10,33,7,2022
American studies,3.29 - 3.83,0.739130435,3.17 - 3.64,0.823529412,17,23,14,2022
Asian american and asian diaspora studies,3.91 - 4.00,0.3125,masked,0.6,5,16,3,2022
Chicano studies,3.57 - 3.92,0.40625,masked,0.307692308,13,32,4,2022
Ethnic studies,3.62 - 3.94,0.405405405,3.51 - 3.89,0.533333333,15,37,8,2022
Gender & women's studies,3.56 - 3.96,0.313432836,3.49 - 3.95,0.333333333,21,67,7,2022
Integrative biology,3.45 - 3.89,0.380434783,3.38 - 3.78,0.514285714,70,184,36,2022
Molecular&cell biology,3.59 - 3.93,0.334302326,3.43 - 3.91,0.439130435,230,688,101,2022
Genetics & plant biology,3.67 - 3.95,0.298245614,3.69 - 3.89,0.588235294,17,57,10,2022
Microbial biology,3.63 - 3.92,0.384615385,3.58 - 3.91,0.418181818,55,143,23,2022
Molecular environmental biology,3.57 - 3.83,0.311111111,3.51 - 3.86,0.214285714,28,90,6,2022
Business administration,3.86 - 4.00,0.045792079,3.85 - 4.00,0.90990991,111,2424,101,2022
Media studies,3.63 - 3.94,0.433609959,3.57 - 3.91,0.583732057,209,482,122,2022
Computer science,3.81 - 4.00,0.045745654,3.81 - 4.00,0.76,50,1093,38,2022
Data science,3.81 - 4.00,0.130434783,3.82 - 4.00,0.843137255,51,391,43,2022
Chemical engineering,3.68 - 3.96,0.302521008,3.67 - 3.95,0.611111111,36,119,22,2022
Bioengineering,3.65 - 3.93,0.203125,3.64 - 3.90,0.5,26,128,13,2022
Civil engineering,3.75 - 3.96,0.268292683,3.71 - 3.99,0.590909091,44,164,26,2022
Electrical engineering - computer science,3.90 - 4.00,0.102355808,3.90 - 4.00,0.849206349,126,1231,107,2022
Industrial engineering & operations research engineering,3.67 - 3.92,0.2,3.67 - 3.92,1.0,5,25,5,2022
Mechanical engineering,3.81 - 4.00,0.16575592,3.82 - 4.00,0.67032967,91,549,61,2022
Nuclear engineering,3.55 - 3.82,0.333333333,3.58 - 3.85,0.857142857,7,21,6,2022
Art,3.69 - 4.00,0.248803828,3.70 - 4.00,0.5,52,209,26,2022
Dance & performance studies,3.44 - 3.91,0.541666667,3.20 - 3.64,0.461538462,13,24,6,2022
Film,3.54 - 3.93,0.494089835,3.54 - 3.94,0.492822967,209,423,103,2022
History of art,3.46 - 3.96,0.556521739,3.46 - 3.95,0.546875,64,115,35,2022
Music,3.47 - 3.90,0.443037975,3.48 - 3.90,0.371428571,35,79,13,2022
Theater and performance studies,3.53 - 3.93,0.514851485,3.41 - 3.81,0.288461538,52,101,15,2022
Chinese language & literature,3.50 - 3.95,0.323076923,3.35 - 3.90,0.476190476,21,65,10,2022
Comparative literature,3.60 - 4.00,0.576923077,3.26 - 3.78,0.3,30,52,9,2022
"East asian religion, thought, and culture",3.59 - 3.93,0.421052632,3.67 - 3.93,0.5,16,38,8,2022
Japanese language & literature,3.64 - 3.90,0.651162791,3.53 - 3.93,0.357142857,28,43,10,2022
Linguistics,3.66 - 3.95,0.448979592,3.65 - 3.94,0.477272727,44,98,21,2022
South & southeast asian studies,3.80 - 3.91,0.538461538,masked,0.428571429,7,13,3,2022
Spanish - portuguese,3.35 - 3.72,0.568181818,3.34 - 3.89,0.52,25,44,13,2022
