Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls
Environmental science,3.43 - 3.72,0.299270073,3.39 - 3.65,0.585365854,41,137,24
Architectural studies,3.65 - 3.93,0.075085324,3.54 - 3.89,0.636363636,22,293,14
African american studies,3.42 - 3.69,0.461538462,3.40 - 3.67,0.666666667,24,52,16
American indian studies,3.56 - 3.85,0.571428571,3.53 - 3.80,0.625,8,14,5
Asian american studies,3.60 - 3.89,0.292682927,3.63 - 3.89,0.583333333,12,41,7
Asian humanities,3.72 - 3.94,0.365853659,3.64 - 3.95,0.6,15,41,9
Chicana & chicano studies,3.34 - 3.79,0.446428571,3.19 - 3.85,0.52,25,56,13
Gender studies,3.55 - 3.92,0.540322581,3.51 - 3.90,0.626865672,67,124,42
Pre-asian studies,3.70 - 3.99,0.253521127,3.63 - 4.00,0.277777778,18,71,5
Pre-latin american studies,3.73 - 3.93,0.5,masked,0.6,5,10,3
Spanish and community and culture,3.57 - 3.98,0.444444444,3.57 - 3.95,0.75,8,18,6
Biochemistry,3.75 - 4.00,0.357638889,3.73 - 3.99,0.601941748,103,288,62
Biology,3.80 - 4.00,0.184947958,3.77 - 3.96,0.619047619,231,1249,143
"Ecology, behavior & evolution",3.55 - 3.73,0.133333333,masked,0.375,8,60,3
Microbiology - immunology - molecular genetics,3.75 - 3.93,0.335820896,3.75 - 3.89,0.466666667,45,134,21
"Molecular, cell, & developmental biology",3.76 - 3.93,0.385093168,3.71 - 3.91,0.596774194,62,161,37
Neuroscience,3.74 - 3.94,0.291428571,3.73 - 3.93,0.705882353,51,175,36
Physiological science,3.73 - 3.92,0.245033113,3.71 - 3.88,0.702702703,37,151,26
Pre-computational & systems biology,3.49 - 3.86,0.5,3.46 - 3.60,0.777777778,9,18,7
Labor studies,3.52 - 3.86,0.366666667,3.37 - 3.86,0.818181818,11,30,9
Pre-business economics,3.87 - 4.00,0.10392949,3.83 - 4.00,0.625441696,283,2723,177
Communication,3.95 - 4.00,0.112132353,3.95 - 4.00,0.729508197,122,1088,89
Computer science,3.94 - 4.00,0.036842105,3.90 - 4.00,0.650793651,63,1710,41
Pre-education and social transformation,3.60 - 3.91,0.418079096,3.63 - 3.93,0.662162162,74,177,49
Aerospace engineering,3.77 - 3.98,0.154255319,3.81 - 3.97,0.620689655,29,188,18
Bioengineering,3.77 - 3.92,0.19047619,3.70 - 3.93,0.458333333,24,126,11
Chemical engineering,3.68 - 3.97,0.25,3.73 - 4.00,0.482758621,29,116,14
Civil engineering,3.85 - 4.00,0.242574257,3.84 - 4.00,0.326530612,49,202,16
Computer engineering,3.91 - 4.00,0.046511628,masked,0.375,8,172,3
Computer science & engineering,3.94 - 4.00,0.078291815,3.87 - 4.00,0.409090909,22,281,9
Electrical engineering,3.83 - 4.00,0.296416938,3.81 - 3.98,0.593406593,91,307,54
Materials engineering,3.82 - 4.00,0.209302326,masked,0.333333333,9,43,3
Mechanical engineering,3.85 - 4.00,0.153992395,3.84 - 4.00,0.419753086,81,526,34
Art history,3.66 - 3.94,0.523809524,3.65 - 3.93,0.545454545,77,147,42
Art,3.30 - 3.84,0.084870849,3.35 - 3.82,0.565217391,23,271,13
Dance,3.76 - 3.91,0.208333333,3.76 - 3.86,0.7,10,48,7
Design media arts,3.53 - 3.96,0.046439628,3.53 - 3.96,1.0,15,323,15
World arts & culture,3.61 - 3.93,0.230769231,3.55 - 3.81,0.75,12,52,9
Film & television,3.42 - 3.92,0.024064171,3.41 - 3.91,0.888888889,18,748,16
Theater,3.72 - 4.00,0.047808765,3.43 - 4.00,0.75,12,251,9
Asian languages and linguistics,3.65 - 3.88,0.444444444,3.71 - 3.88,0.666666667,12,27,8
Chinese,3.68 - 3.93,0.357142857,3.66 - 3.89,0.5,10,28,5
Comparative literature,3.58 - 3.86,0.448979592,3.46 - 3.80,0.590909091,22,49,13
European languages and transcultural studies with french and francophone,3.60 - 3.95,0.5625,masked,0.444444444,9,16,4
European languages and transcultural studies with german,masked,0.5,masked,1.0,3,6,3
Japanese,3.69 - 3.95,0.574074074,3.69 - 3.94,0.548387097,31,54,17
Korean,3.71 - 3.89,0.352941176,masked,0.666666667,6,17,4
Linguistics,3.69 - 3.93,0.402439024,3.66 - 3.91,0.424242424,33,82,14
Linguistics - english,3.78 - 3.93,0.5,masked,0.8,5,10,4
Linguistics & anthropology,3.62 - 3.96,0.375,masked,0.5,6,16,3
Linguistics & asian languages & cultures,3.81 - 3.97,0.473684211,masked,0.444444444,9,19,4
Linguistics & computer science,3.66 - 3.88,0.345238095,3.45 - 3.87,0.517241379,29,84,15
Linguistics & psychology,3.64 - 3.87,0.376623377,3.66 - 3.89,0.655172414,29,77,19
